
B a
較 -4.458273437414252D
輕 -5.66504112213336D
輝 -7.118600865647246D
轩 -9.961570384648827D
软 -7.81824157551774D
轻 -5.66504112213336D
较 -4.458273437414252D
辉 -7.118600865647246D
辛 -7.332483227353419D
辣 -11.147194050306567D
辨 -8.085503808960778D
辩 -13.545089323104937D
辯 -13.545089323104937D
辽 -7.73095879127987D
达 -11.147194050306567D
迂 -9.417954938059845D
迅 -7.5944467705172105D
过 -7.099369503719359D
近 -7.251670044258455D
远 -10.018728798488775D
连 -4.711043681937139D
迟 -6.736050017061958D
迥 -8.84460895731252D
迫 -7.424791904153986D
迷 -7.2912605115294635D
适 -5.12484765776515D
逆 -9.961570384648827D
逊 -8.561482701396601D
逍 -8.817701504392597D
透 -6.477769474451462D
逗 -10.409595107175788D
通 -7.183786845531942D
造 -13.545089323104937D
連 -4.711043681937139D
週 -7.158210003742292D
逼 -8.58224469284503D
過 -7.099369503719359D
遒 -9.716447926615842D
達 -11.147194050306567D
遗 -7.089890759764815D
遙 -7.13327105539504D
遜 -8.561482701396601D
遠 -10.018728798488775D
遥 -7.13327105539504D
適 -5.12484765776515D
遲 -6.736050017061958D
遺 -7.089890759764815D
遼 -7.73095879127987D
邈 -11.753329853876883D
邋 -10.048581761638458D
邪 -8.433101534748394D
郁 -8.34659229183911D
郑 -7.896115084943731D
鄙 -9.934171410460712D
鄭 -7.896115084943731D
配 -6.562226571635994D
酣 -9.783889207411374D
酥 -9.856209868991D
酷 -9.3707020532093D
酸 -7.837979058356061D
醇 -8.900698423963565D
醒 -8.625108397276811D
醜 -7.837979058356061D
重 -3.1950267094044285D
野 -7.789347109518025D
金 -10.454046869746621D
鈍 -13.545089323104937D
銀 -11.147194050306567D
銳 -8.463684958120474D
銷 -9.831517256400629D
鋒 -8.188503048432924D
鋪 -10.11110211861979D
錚 -10.71187597904872D
錯 -9.556105276540663D
鎖 -11.147194050306567D
鎮 -7.802086135295455D
鏗 -9.254629881956546D
钝 -13.545089323104937D
铮 -10.71187597904872D
银 -11.147194050306567D
铺 -10.11110211861979D
铿 -9.254629881956546D
销 -9.831517256400629D
锁 -11.147194050306567D
锋 -8.188503048432924D
锐 -8.463684958120474D
错 -9.556105276540663D
镇 -7.802086135295455D
長 -6.100256049212743D
长 -6.100256049212743D
閉 -10.500566885381515D
開 -7.224321028854354D
閒 -9.12624871530834D
闊 -8.800157194741686D
關 -10.454046869746621D
闭 -10.500566885381515D
闲 -9.12624871530834D
闷 -8.920116509820666D
闹 -10.906031993489679D
阔 -8.800157194741686D
阳 -10.772500600865156D
阴 -7.163273305698839D
陆 -12.851942142544992D
陈 -8.26697466387442D
陌 -7.344580149062247D
陡 -7.773648199974921D
险 -7.107337673368535D
陰 -7.163273305698839D
陳 -8.26697466387442D
陸 -12.851942142544992D
陽 -10.772500600865156D
隆 -7.497717144058659D
随 -8.48884351775663D
隐 -7.188981662409046D
隨 -8.48884351775663D
險 -7.107337673368535D
隱 -7.188981662409046D
隽 -10.07935342030521D
难 -5.756877765257861D
雄 -6.748265604830082D
雅 -8.415190608181863D
雋 -10.07935342030521D
雜 -8.439143849204356D
離 -8.463684958120474D
難 -5.756877765257861D
零 -7.533822148700775D
霉 -11.465647781425101D
露 -9.450744760882836D
霸 -12.851942142544992D
靈 -5.90304492023168D
青 -8.853741440875794D
靓 -9.10243806661462D
静 -8.554656736326201D
靚 -9.10243806661462D
靜 -8.554656736326201D
靠 -8.508136720691308D
靡 -12.446477034436827D
面 -9.06775250862673D
靦 -8.88165022899287D
響 -7.95410234259408D
頂 -9.519737632369788D
順 -7.326489203413208D
頑 -7.040801149568291D
頭 -7.0574053046203264D
頹 -8.421125343701679D
頻 -6.335009694934149D
顛 -11.347864745768717D
顢 -11.147194050306567D
顧 -10.549357049550945D
顯 -5.669970042064644D
顶 -9.519737632369788D
顺 -7.326489203413208D
顽 -7.040801149568291D
顾 -10.549357049550945D
频 -6.335009694934149D
颓 -8.421125343701679D
颖 -10.772500600865156D
颟 -11.147194050306567D
颠 -11.347864745768717D
風 -7.667353541325298D
飄 -9.738426833334618D
风 -7.667353541325298D
飘 -9.738426833334618D
飛 -12.446477034436827D
飞 -12.446477034436827D
飽 -8.27208976454119D
養 -9.934171410460712D
饱 -8.27208976454119D
香 -8.75759758032289D
馬 -9.012489829951681D
馴 -10.409595107175788D
駁 -10.9801399656434D
駑 -11.24250423011089D
駭 -10.249252457100608D
驍 -9.417954938059845D
驕 -7.270327301862998D
驚 -5.241089352149741D
马 -9.012489829951681D
驯 -10.409595107175788D
驳 -10.9801399656434D
驽 -11.24250423011089D
骁 -9.417954938059845D
骄 -7.270327301862998D
骇 -10.249252457100608D
骯 -8.368939590531108D
體 -8.039757787172574D
高 -4.490701252902641D
鬧 -10.906031993489679D
鬱 -8.34659229183911D
鬼 -10.454046869746621D
魁 -8.700902236646346D
魯 -9.201283901251253D
鮮 -6.1432477443611075D
鯁 -12.446477034436827D
鲁 -9.201283901251253D
鲜 -6.1432477443611075D
鲠 -12.446477034436827D
鹵 -11.599179174049624D
麗 -12.851942142544992D
麻 -7.584083983481664D
黏 -10.07935342030521D
黑 -7.0215270169554245D
默 -8.368939590531108D
黯 -8.960121844434365D
黴 -11.465647781425101D
鼓 -11.935651410670836D
齊 -6.5818993372347D
齐 -6.5818993372347D
齷 -9.673888312197047D
龌 -9.673888312197047D
龐 -6.407810885844551D

B ad
不 -9.025464126169886D
专 -6.9549912544728105D
严 -3.3030468393683283D
主 -3.8838005696672266D
仓 -6.209200340427444D
仔 -4.112284168224344D
低 -8.368684589780816D
侥 -7.639169765049996D
倉 -6.209200340427444D
偶 -7.245680847988547D
僥 -7.639169765049996D
充 -3.239005052940812D
兇 -8.956471254682935D
全 -3.214537014062358D
公 -3.0571219964827585D
准 -9.467296878448925D
凑 -10.565909167117036D
凶 -8.956471254682935D
切 -4.8455973905096235D
刻 -7.001082361673078D
努 -3.560120147863533D
劳 -10.055083543351044D
勇 -9.361936362791099D
勞 -10.055083543351044D
勤 -6.92832300739065D
匆 -7.713277737203717D
及 -3.6122249562464988D
周 -8.77414969788898D
和 -11.664521455785145D
嚴 -3.3030468393683283D
均 -7.320716033931461D
坚 -4.355978658245955D
坦 -8.445645630916944D
堅 -4.355978658245955D
壮 -8.29722562579867D
壯 -8.29722562579867D
大 -4.906426951357414D
妥 -5.871507847401001D
委 -8.956471254682935D
孤 -11.664521455785145D
安 -9.58507991410531D
完 -2.4609036295697893D
实 -10.9713742752252D
密 -3.6851825605228177D
實 -10.9713742752252D
对 -7.752498450356999D
專 -6.9549912544728105D
對 -7.752498450356999D
小 -4.741877564309258D
平 -9.179614805997145D
彻 -3.9387500141971934D
徹 -3.9387500141971934D
急 -7.010561105627621D
恆 -9.266626182986775D
恍 -8.445645630916944D
恒 -9.266626182986775D
悠 -8.57347900242683D
悲 -9.718611306729832D
惊 -7.537387070740054D
愧 -10.278227094665255D
慌 -5.251062498617788D
慷 -6.860500411051889D
懦 -7.001082361673078D
扼 -8.831308111728928D
拉 -11.664521455785145D
招 -7.950949389080837D
敗 -11.664521455785145D
无 -8.619999018061723D
明 -3.369971940641466D
显 -3.7878829948096824D
普 -3.1002538569829787D
暢 -9.58507991410531D
机 -10.278227094665255D
果 -7.175885086053005D
機 -10.278227094665255D
正 -2.9517614808249326D
武 -10.565909167117036D
殷 -9.099572098323609D
沈 -7.793320444877254D
沉 -7.793320444877254D
沒 -7.360456362580975D
没 -7.360456362580975D
清 -11.664521455785145D
湊 -10.565909167117036D
準 -9.467296878448925D
热 -7.793320444877254D
無 -8.619999018061723D
熱 -7.793320444877254D
牢 -9.179614805997145D
牵 -11.664521455785145D
牽 -11.664521455785145D
狠 -9.87276198655709D
独 -6.94602258449005D
狼 -6.8047090514234725D
猖 -10.565909167117036D
猛 -7.772701157674518D
獨 -6.94602258449005D
畅 -9.58507991410531D
疲 -9.266626182986775D
疾 -8.891932733545364D
盲 -5.30321897821215D
直 -2.4687872361983247D
确 -3.412075365538193D
確 -3.412075365538193D
积 -2.714507426250888D
稳 -5.847410295821941D
積 -2.714507426250888D
穩 -5.847410295821941D
突 -2.703668610462774D
笼 -9.87276198655709D
籠 -9.87276198655709D
粗 -6.558575981884564D
精 -5.30321897821215D
紛 -9.87276198655709D
紧 -4.973679178366582D
綿 -10.9713742752252D
緊 -4.973679178366582D
纷 -9.87276198655709D
绵 -10.9713742752252D
耐 -7.9033213400915825D
肃 -10.278227094665255D
肅 -10.278227094665255D
肮 -10.055083543351044D
苦 -10.9713742752252D
英 -9.467296878448925D
茁 -10.278227094665255D
茫 -8.831308111728928D
草 -9.58507991410531D
蓬 -7.694229542233023D
虚 -7.586984011879426D
虛 -7.586984011879426D
詳 -5.078349800930471D
認 -3.9414013635188136D
认 -3.9414013635188136D
详 -5.078349800930471D
費 -11.664521455785145D
貼 -11.664521455785145D
败 -11.664521455785145D
贴 -11.664521455785145D
费 -11.664521455785145D
超 -9.718611306729832D
踊 -6.270893909432783D
踴 -6.270893909432783D
輕 -9.87276198655709D
轻 -9.87276198655709D
达 -10.565909167117036D
迅 -2.919874017467613D
过 -5.009081105417498D
适 -5.575476580338299D
逍 -9.099572098323609D
週 -8.77414969788898D
過 -5.009081105417498D
達 -10.565909167117036D
適 -5.575476580338299D
隆 -8.230534251299998D
随 -4.243343927189751D
隨 -4.243343927189751D
順 -4.192020711047587D
顯 -3.7878829948096824D
顺 -4.192020711047587D
驚 -7.537387070740054D
骯 -10.055083543351044D
默 -10.9713742752252D
齊 -8.891932733545364D
齐 -8.891932733545364D

B ag

B an
严 -4.513735246352475D
伤 -8.39185670010494D
低 -6.158264478597846D
偏 -6.546030009606609D
傷 -8.39185670010494D
兇 -6.251790536608669D
公 -9.49046898877305D
冲 -8.574178256898895D
冷 -5.906950050316939D
凄 -7.29324441143683D
凶 -6.251790536608669D
刚 -7.048121953403845D
剛 -7.048121953403845D
动 -4.043731617106739D
動 -4.043731617106739D
卑 -7.698709519544995D
卫 -2.660675251260624D
危 -2.6008776804185834D
周 -9.49046898877305D
哀 -5.661827592283954D
喜 -10.183616169332995D
嚴 -4.513735246352475D
困 -1.885076623958115D
多 -10.183616169332995D
妙 -8.574178256898895D
安 -1.4329331345484033D
尴 -9.085003880664885D
尷 -9.085003880664885D
工 -7.475565968230785D
幽 -7.785720896534624D
忧 -10.183616169332995D
快 -10.183616169332995D
恆 -4.890311344608502D
恐 -3.201681492176606D
恒 -4.890311344608502D
恶 -9.085003880664885D
悠 -7.698709519544995D
悲 -5.396124426550949D
悶 -5.694979799600855D
惡 -9.085003880664885D
憂 -10.183616169332995D
无 -10.183616169332995D
晦 -5.16633633251807D
枯 -8.39185670010494D
柔 -6.717880266533268D
淒 -7.29324441143683D
清 -9.49046898877305D
温 -3.220426183462757D
溫 -3.220426183462757D
烦 -6.158264478597846D
無 -10.183616169332995D
煩 -6.158264478597846D
犹 -10.183616169332995D
狂 -8.104174627653158D
狠 -6.009228899437358D
狼 -5.752799370489681D
猥 -7.187883895779004D
猶 -10.183616169332995D
疼 -10.183616169332995D
痛 -2.5912500408131987D
矛 -2.025386252373502D
礼 -4.812978141205332D
禮 -4.812978141205332D
空 -7.005562338985049D
精 -10.183616169332995D
累 -5.879551076128825D
美 -10.183616169332995D
耐 -6.232372450751567D
腐 -3.0977147049673834D
自 -6.056481784287903D
苍 -10.183616169332995D
蒼 -10.183616169332995D
衛 -2.660675251260624D
衝 -8.574178256898895D
解 -6.964740344464794D
誠 -10.183616169332995D
诚 -10.183616169332995D
負 -7.187883895779004D
貧 -5.510787334871089D
负 -7.187883895779004D
贫 -5.510787334871089D
迷 -9.49046898877305D
週 -9.49046898877305D
邪 -10.183616169332995D
酸 -9.085003880664885D
野 -10.183616169332995D
閒 -6.089271607110894D
闲 -6.089271607110894D
闷 -5.694979799600855D
阴 -5.474085968020661D
陰 -5.474085968020661D
零 -8.237706020277681D
靡 -8.39185670010494D
高 -9.49046898877305D
麻 -3.605754811611948D
黯 -10.183616169332995D

B b
一 -3.9341511703482D
丁 -12.362075894006255D
七 -7.919424637515938D
万 -5.666276976947763D
三 -5.067698594717434D
上 -3.6355946975662485D
下 -5.929135801267075D
不 -6.584423570783598D
专 -5.392285224104666D
世 -7.634688075293915D
业 -6.536075786625805D
东 -5.8974875903162935D
丝 -7.262209466182057D
两 -5.6849924327591195D
並 -11.263463605338146D
丧 -9.723018564390996D
中 -3.544481857730462D
串 -9.18402206365831D
临 -4.188500407372102D
主 -1.62718034466129D
乔 -12.362075894006255D
乘 -10.975781532886364D
乙 -9.271033440647939D
九 -9.226581678077105D
乡 -9.877169244218255D
书 -6.59688479122141D
买 -10.752637981572155D
乳 -8.835715369390094D
事 -10.5703164247782D
二 -4.319055008707973D
互 -9.877169244218255D
五 -6.671716439682195D
些 -11.66892871344631D
交 -8.778556955550146D
产 -10.752637981572155D
亲 -6.864907668713053D
人 -6.200868572311179D
亿 -10.05949080101221D
从 -6.072360323097258D
仓 -11.66892871344631D
任 -7.427601960875563D
仿 -8.234941508961164D
企 -10.416165744950941D
优 -5.0555444950667505D
伙 -11.66892871344631D
伞 -8.99478006401978D
传 -9.589487171766473D
伪 -9.797126536544718D
伸 -9.654025692904044D
低 -6.451279249965728D
作 -12.362075894006255D
侏 -8.896339991206528D
便 -7.6171437656430045D
俄 -9.18402206365831D
保 -9.103979355984773D
信 -8.336724203271105D
倉 -11.66892871344631D
候 -7.039065914867847D
假 -8.450052888578108D
偌 -7.214581417192802D
偏 -10.416165744950941D
偶 -8.778556955550146D
偽 -9.797126536544718D
傘 -8.99478006401978D
備 -10.5703164247782D
傳 -9.589487171766473D
億 -10.05949080101221D
優 -5.0555444950667505D
充 -10.975781532886364D
先 -6.5690622856221115D
光 -8.555413404235935D
免 -9.589487171766473D
內 -6.012936902626457D
全 -5.289653993468884D
兩 -5.6849924327591195D
八 -8.203192810646582D
公 -4.199274540514181D
六 -9.226581678077105D
共 -7.089076335442508D
内 -6.012936902626457D
冒 -9.723018564390996D
军 -5.8458828179632905D
农 -7.9800492593323735D
冠 -12.362075894006255D
冬 -9.143200069138054D
冷 -10.416165744950941D
冻 -11.66892871344631D
凍 -11.66892871344631D
凭 -10.5703164247782D
出 -8.600875778312693D
刀 -9.52886254995004D
分 -6.509873414231781D
切 -8.92808868952111D
刑 -5.851817553483105D
划 -7.502263489644583D
创 -11.66892871344631D
初 -5.950257626296358D
別 -8.071616452857864D
别 -8.071616452857864D
削 -11.66892871344631D
前 -6.911037440440555D
副 -7.670728011777111D
創 -11.66892871344631D
劃 -7.502263489644583D
加 -8.0854097749902D
劣 -7.873439524274115D
动 -12.362075894006255D
助 -7.104580521978473D
動 -12.362075894006255D
勻 -8.960878512344099D
匀 -8.960878512344099D
包 -9.964180621207884D
化 -11.66892871344631D
北 -6.25728266159127D
区 -7.099385705101369D
医 -6.741675028289105D
區 -7.099385705101369D
十 -11.66892871344631D
千 -9.143200069138054D
升 -12.362075894006255D
半 -7.280671529021792D
华 -8.960878512344099D
协 -10.752637981572155D
協 -10.752637981572155D
单 -4.526892138739507D
南 -7.232177179083181D
卡 -10.05949080101221D
卧 -8.555413404235935D
卫 -8.470255595895628D
即 -8.301632883459837D
卵 -7.955356646742002D
卷 -12.362075894006255D
厂 -12.362075894006255D
厅 -9.317553456282832D
历 -6.864907668713053D
压 -10.05949080101221D
原 -6.8772789605156D
厢 -10.282634352326419D
县 -6.692194971025735D
双 -5.282049394083665D
反 -9.18402206365831D
发 -9.103979355984773D
变 -11.263463605338146D
口 -11.66892871344631D
古 -5.4583286364216566D
只 -8.53343449751716D
叫 -9.654025692904044D
可 -7.203020594791726D
台 -8.69851424787661D
史 -7.203020594791726D
右 -7.250088105649712D
司 -10.416165744950941D
各 -11.66892871344631D
合 -8.319024626171705D
吊 -11.66892871344631D
同 -4.228782032783621D
后 -6.581332378213926D
向 -8.624406275722887D
吨 -7.371643307227519D
听 -11.263463605338146D
启 -9.471704136110091D
吸 -9.877169244218255D
命 -9.723018564390996D
和 -10.752637981572155D
品 -12.362075894006255D
哑 -10.975781532886364D
哥 -7.931259095162941D
唯 -4.3464182794489155D
商 -9.964180621207884D
啞 -10.975781532886364D
啟 -9.471704136110091D
啮 -8.865568332539775D
喪 -9.723018564390996D
喬 -12.362075894006255D
單 -4.526892138739507D
喷 -7.4868785708051035D
器 -9.317553456282832D
噴 -7.4868785708051035D
噸 -7.371643307227519D
囓 -8.865568332539775D
四 -7.115051821845769D
团 -9.271033440647939D
园 -12.362075894006255D
固 -6.307636547736885D
国 -4.909093564540795D
圆 -8.896339991206528D
國 -4.909093564540795D
園 -12.362075894006255D
圓 -8.896339991206528D
團 -9.271033440647939D
土 -10.416165744950941D
在 -6.5479453621811885D
地 -7.808199002405714D
坐 -10.975781532886364D
垂 -12.362075894006255D
城 -6.536075786625805D
塔 -8.806727832516842D
填 -10.416165744950941D
墙 -10.5703164247782D
增 -9.964180621207884D
墨 -9.103979355984773D
壁 -10.282634352326419D
壓 -10.05949080101221D
士 -10.5703164247782D
处 -8.577886260087993D
备 -10.5703164247782D
复 -7.104580521978473D
外 -5.646692507671574D
多 -4.933742699815449D
夜 -9.143200069138054D
夥 -11.66892871344631D
大 -3.281388730256943D
天 -4.563552840381049D
头 -6.8690144506657065D
夹 -8.555413404235935D
夾 -8.555413404235935D
奇 -7.220412337503595D
契 -10.5703164247782D
套 -11.66892871344631D
女 -9.02987138383105D
姑 -9.52886254995004D
婚 -10.975781532886364D
嫡 -8.648503827301948D
嫣 -9.143200069138054D
嫩 -8.113580651956896D
孔 -11.263463605338146D
孤 -9.877169244218255D
学 -9.066239028001926D
孪 -8.284538450100536D
學 -9.066239028001926D
孿 -8.284538450100536D
定 -6.771088913495398D
实 -7.840287316957214D
宫 -9.797126536544718D
宮 -9.797126536544718D
家 -8.624406275722887D
容 -11.263463605338146D
宽 -10.752637981572155D
密 -10.5703164247782D
富 -12.362075894006255D
實 -7.840287316957214D
寬 -10.752637981572155D
对 -10.975781532886364D
导 -12.362075894006255D
将 -11.66892871344631D
將 -11.66892871344631D
專 -5.392285224104666D
對 -10.975781532886364D
導 -12.362075894006255D
小 -4.991845252199174D
少 -9.964180621207884D
尖 -7.737103080721984D
局 -9.471704136110091D
展 -9.723018564390996D
履 -7.286902078772428D
崭 -6.723721224672509D
嶄 -6.723721224672509D
州 -8.113580651956896D
工 -7.625877445611759D
左 -9.52886254995004D
巨 -5.30331774148759D
巴 -10.752637981572155D
巾 -9.417636914839814D
市 -6.752604098821295D
布 -12.362075894006255D
师 -9.271033440647939D
師 -9.271033440647939D
常 -5.1431661863871945D
平 -7.737103080721984D
年 -5.282049394083665D
并 -11.263463605338146D
幼 -9.52886254995004D
广 -4.434751533696461D
应 -8.09939601696494D
废 -8.354742708773784D
庭 -10.416165744950941D
庶 -9.877169244218255D
廂 -10.282634352326419D
廠 -12.362075894006255D
廢 -8.354742708773784D
廣 -4.434751533696461D
廳 -9.317553456282832D
建 -8.430250261281929D
开 -8.218941167614723D
异 -6.66498240750085D
弧 -10.5703164247782D
弱 -8.99478006401978D
強 -7.479273971419884D
强 -7.479273971419884D
形 -9.797126536544718D
彩 -6.165631766211734D
彪 -11.66892871344631D
影 -6.324204974084117D
往 -9.52886254995004D
後 -6.581332378213926D
徒 -10.05949080101221D
從 -6.072360323097258D
